author,poem,words,characters
J. MILTON.,And speckled vanity,3,19
J. MILTON.,In consecrated earth,3,20
J. MILTON.,Peor and Baalim,3,15
J. MILTON.,And moonéd Ashtaroth,3,20
J. MILTON.,"Longer dare abide,",3,18
J. MILTON.,"Heavens youngest-teeméd star,",3,29
J. DRYDEN.,And mortal alarms.,3,18
J. DRYDEN.,Sharp violins proclaim,3,22
J. DRYDEN.,"Fury, frantic indignation,",3,26
A. MARVELL.,His numbers languishing.,3,24
A. MARVELL.,Into another mould.,3,19
A. MARVELL.,Shall climacteric be.,3,21
A. MARVELL.,The Caledonian deer.,3,20
A. MARVELL.,March indefatigably on;,3,23
J. MILTON.,"The glowing violet,",3,19
J. SHIRLEY.,Sceptre and Crown,3,17
J. SHIRLEY.,"Must tumble down,",3,17
J. SHIRLEY.,Early or late,3,13
B. JONSON.,Goddess excellently bright.,3,27
B. JONSON.,Goddess excellently bright.,3,27
B. JONSON.,Goddess excellently bright.,3,27
R. CRASHAW.,"Whoe'er she be,",3,15
R. CRASHAW.,"Where'er she lie,",3,17
R. CRASHAW.,Till that divine,3,16
R. CRASHAW.,Something more than,3,19
R. CRASHAW.,"Soft silken hours,",3,18
ANON.,Over the mountains,3,18
ANON.,Under the fountains,3,19
ANON.,Which Neptune obey;,3,19
T. CAREW.,Kindle never-dying fires:—,3,26
E. WALLER.,"Go, lovely Rose!",3,16
COLONEL LOVELACE.,Enjoy such liberty.,3,19
COLONEL LOVELACE.,Away from thee;,3,15
COLONEL LOVELACE.,"Like separated souls,",3,21
SIR J. SUCKLING.,Looking ill prevail?,3,20
SIR J. SUCKLING.,Saying nothing do't?,3,20
G. WITHER.,"Turtle-dove or pelican,",3,23
J. FLETCHER.,"But only melancholy,",3,20
J. FLETCHER.,O sweetest Melancholy!,3,22
R. HERRICK.,Into the grave.,3,15
J. MILTON.,"Hence, loathéd Melancholy,",3,26
J. MILTON.,His half-regain'd Eurydice.,3,27
J. MILTON.,"Hail, divinest Melancholy!",3,26
J. MILTON.,The cherub Contemplatión;,3,25
J. DRYDEN.,With ravish'd ears,3,18
J. DRYDEN.,"The monarch hears,",3,18
J. DRYDEN.,Assumes the god;,3,16
J. DRYDEN.,Affects to nod,3,14
J. DRYDEN.,"Rich the treasure,",3,18
J. DRYDEN.,"Sweet the pleasure,",3,19
J. DRYDEN.,And unburied remain,3,19
J. DRYDEN.,"—Thus, long ago,",3,16
J. DRYDEN.,And sounding lyre,3,17
T. GRAY.,A melancholy grace;,3,19
T. GRAY.,Approaching Comfort view:,3,25
A. POPE.,"In winter, fire.",3,16
A. POPE.,"Quiet by day,",3,13
A. PHILIPS.,"Their solicitous delight,",3,25
A. PHILIPS.,Ever-busy Time prepares;,3,24
R. BURNS.,Drumossie moor—Drumossie day—,3,29
T. GRAY.,A Pindaric Ode.,3,15
T. GRAY.,O'er Idalia's velvet-green,3,26
T. GRAY.,"On Cytherea's day,",3,18
T. GRAY.,Inspiration breathed around;,3,28
T. GRAY.,"O'er-canopies the glade,",3,24
T. GRAY.,A solitary fly!,3,15
R. BURNS.,Wi' bickering brattle!,3,22
R. BURNS.,Wi' murd'ring pattle!,3,21
R. BURNS.,An' never miss't!,3,17
R. BURNS.,O' foggage green!,3,17
R. BURNS.,An' cranreuch cauld!,3,20
R. BURNS.,"Gang aft a-gley,",3,16
R. BURNS.,For promised joy.,3,17
R. BURNS.,On prospects drear!,3,19
R. BURNS.,Return to Caledonie!,3,20
LADY NAIRN.,I'm wearing awa',3,16
T. GRAY.,His silver-winding way:,3,23
T. GRAY.,To sweeten liberty:,3,19
T. GRAY.,"Grim-visaged comfortless Despair,",3,33
T. GRAY.,And grinning Infamy.,3,20
T. GRAY.,Amid severest woe.,3,18
T. GRAY.,And slow-consuming Age.,3,23
J. KEATS.,Philosophic numbers smooth;,3,27
S. T. COLERIDGE.,Interpreted my own.,3,19
S. T. COLERIDGE.,This miserable Knight!,3,22
S. T. COLERIDGE.,"An undistinguishable throng,",3,28
SIR W. SCOTT.,Was singing merrily:,3,20
P.B. SHELLEY.,"The nightingale's complaint,",3,28
W. WORDSWORTH.,By silent sympathy.,3,19
T. MOORE.,Goes answering light!,3,21
T. MOORE.,The songs repeat.,3,17
T. MOORE.,"And only then,",3,14
T. MOORE.,Breathed back again.,3,20
SIR W. SCOTT.,Sings high-born Cavalier.,3,25
P.B. SHELLEY.,Spirit of Night!,3,16
P.B. SHELLEY.,Wouldst thou me?,3,16
P.B. SHELLEY.,"No, not thee!",3,13
P.B. SHELLEY.,"Soon, too soon—",3,15
P.B. SHELLEY.,"Come soon, soon!",3,16
LORD BYRON.,Colder thy kiss;,3,16
LORD BYRON.,Sorrow to this!,3,15
LORD BYRON.,Thy spirit deceive.,3,19
LORD BYRON.,"After long years,",3,17
J. KEATS.,Their green felicity:,3,21
J. KEATS.,Apollo's summer look;,3,21
J. KEATS.,"Never, never petting",3,20
SIR W. SCOTT.,Parted for ever?,3,16
SIR W. SCOTT.,Under the willow.,3,17
SIR W. SCOTT.,"Parted for ever,",3,16
SIR W. SCOTT.,"Never, O never!",3,15
SIR W. SCOTT.,"Never, O never!",3,15
SIR W. SCOTT.,"He, the deceiver,",3,17
SIR W. SCOTT.,O'er the falsehearted;,3,22
SIR W. SCOTT.,"Never, O never!",3,15
SIR W. SCOTT.,"Never, O never!",3,15
J. KEATS.,"Fast withereth too.""",3,20
J. KEATS.,A faery's song.,3,15
J. KEATS.,With kisses four.,3,17
LORD BYRON.,Nor falsehood disavow:,3,22
LORD BYRON.,"Extinguish'd, not decay'd;",3,26
SIR W. SCOTT.,Pibroch of Donuil,3,17
SIR W. SCOTT.,Summon Clan Conuil.,3,19
SIR W. SCOTT.,Gentles and commons.,3,20
SIR W. SCOTT.,Are at Inverlochy.,3,18
SIR W. SCOTT.,Broadswords and targes.,3,23
SIR W. SCOTT.,"Forests are rended,",3,19
SIR W. SCOTT.,Navies are stranded:,3,20
SIR W. SCOTT.,"Faster and faster,",3,18
SIR W. SCOTT.,Tenant and master.,3,18
SIR W. SCOTT.,Blended with heather.,3,21
T. CAMPBELL.,Led them on.,3,12
T. CAMPBELL.,Like leviathans afloat,3,22
T. CAMPBELL.,For a time.,3,11
T. CAMPBELL.,Of the sun.,3,11
T. CAMPBELL.,Again! again! again!,3,20
T. CAMPBELL.,Light the gloom.,3,16
T. CAMPBELL.,"To our King.""",3,13
T. CAMPBELL.,Of the brave!,3,13
W. WORDSWORTH.,ODE TO DUTY,3,11
R. SOUTHEY.,With wonder-waiting eyes;,3,25
R. SOUTHEY.,Said little Wilhelmine;,3,23
R. SOUTHEY.,Quoth little Peterkin:—,3,23
W. WORDSWORTH.,In liveried poverty:,3,20
T. MOORE.,"Of boyhood's years,",3,19
T. MOORE.,Who treads alone,3,16
T. MOORE.,"Some banquet-hall deserted,",3,27
T. MOORE.,"Whose garlands dead,",3,20
P.B. SHELLEY.,Spirit of Delight!,3,18
P.B. SHELLEY.,Spirit of Delight!,3,18
P.B. SHELLEY.,And such society,3,16
R. SOUTHEY.,Through all Futurity;,3,21
J. KEATS.,"Sipping beverage divine,",3,24
SIR W. SCOTT.,Walking so early;,3,17
SIR W. SCOTT.,Singing so rarely.,3,18
SIR W. SCOTT.,"Birdie, say truly?""",3,19
SIR W. SCOTT.,"—""The gray-headed sexton",3,24
SIR W. SCOTT.,"Welcome, proud lady!""",3,21
T. HOOD.,One more Unfortunate,3,20
T. HOOD.,Weary of breath,3,15
T. HOOD.,Fashion'd so slenderly,3,22
T. HOOD.,Clinging like cerements;,3,24
T. HOOD.,"Loving, not loathing.",3,21
T. HOOD.,Gently and humanly;,3,19
T. HOOD.,Into her mutiny,3,15
T. HOOD.,Rash and undutiful:,3,19
T. HOOD.,"Past all dishonour,",3,19
T. HOOD.,Only the beautiful.,3,19
T. HOOD.,Oozing so clammily.,3,19
T. HOOD.,Whilst wonderment guesses,3,25
T. HOOD.,Of Christian charity,3,20
T. HOOD.,Under the sun!,3,14
T. HOOD.,Feelings had changed:,3,21
T. HOOD.,Even God's providence,3,21
T. HOOD.,Houseless by night.,3,19
T. HOOD.,"Fashion'd so slenderly,",3,23
T. HOOD.,"Stiffen too rigidly,",3,20
T. HOOD.,Staring so blindly!,3,19
T. HOOD.,"Thro' muddy impurity,",3,21
T. HOOD.,Fix'd on futurity.,3,18
T. HOOD.,"Spurr'd by contumely,",3,21
T. HOOD.,Into her rest.,3,14
T. HOOD.,Over her breast!,3,16
T. HOOD.,"Owning her weakness,",3,20
T. HOOD.,"Her evil behaviour,",3,19
C. LAMB.,With vain endeavour.,3,20
C. LAMB.,And her together.,3,17
C. LAMB.,She did inherit.,3,16
C. LAMB.,Some summer morning—,3,20
C. LAMB.,A sweet fore-warning?,3,21
SIR W. SCOTT.,The fount reappearing,3,21
W. WORDSWORTH.,An incommunicable sleep.,3,24
W. WORDSWORTH.,Beyond participation lie,3,24
P.B. SHELLEY.,Singing hymns unbidden,3,22
P.B. SHELLEY.,Soothing her love-laden,3,23
P.B. SHELLEY.,Its aerial hue,3,14
P.B. SHELLEY.,Or triumphal chaunt,3,19
P.B. SHELLEY.,Languor cannot be:,3,18
P.B. SHELLEY.,Shadow of annoyance,3,19
P.B. SHELLEY.,Waking or asleep,3,16
P.B. SHELLEY.,Our sincerest laughter,3,22
P.B. SHELLEY.,"Of delightful sound,",3,20
P.B. SHELLEY.,Such harmonious madness,3,23
W. WORDSWORTH.,Of visionary hours.,3,19
J. KEATS.,And purple-stainéd mouth;,3,25
J. KEATS.,And leaden-eyed despairs;,3,25
W. WORDSWORTH.,"Sept. 3, 1802.",3,14
W. WORDSWORTH.,And maidenly shamefacedness:,3,28
W. WORDSWORTH.,Among Arabian sands:,3,20
P.B. SHELLEY.,Ariel to Miranda:—Take,3,22
P.B. SHELLEY.,Than deserted Ariel;,3,20
W. WORDSWORTH.,Thou unassuming commonplace,3,27
W. WORDSWORTH.,Of all temptations;,3,19
W. WORDSWORTH.,Sweet silent Creature!,3,22
T. CAMPBELL.,"Germany, December, 1800.",3,24
T. CAMPBELL.,And crystal-cover'd shield.,3,27
T. CAMPBELL.,Of Innocence descend.,3,21
W. WORDSWORTH.,With uncontroll'd meanderings;,3,30
W. WORDSWORTH.,Is visibly delighted;,3,21
W. WORDSWORTH.,All profitless dejection;,3,25
W. WORDSWORTH.,A pensive recollection.,3,23
W. WORDSWORTH.,To fond imagination,3,19
W. WORDSWORTH.,Her delicate creation:,3,22
W. WORDSWORTH.,And pastoral melancholy.,3,24
W. WORDSWORTH.,Of cultivated Nature;,3,21
P.B. SHELLEY.,And the multitudinous,3,21
P.B. SHELLEY.,"As serpents interlaced,—",3,24
P.B. SHELLEY.,The inviolable quietness;,3,25
P.B. SHELLEY.,The lifeless atmosphere.,3,24
J. KEATS.,In dark conspiracy,3,18
J. KEATS.,"Fancy, high-commission'd:—send her!",3,35
J. KEATS.,Distant harvest-carols clear;,3,29
J. KEATS.,"Shaded hyacinth, alway",3,22
J. KEATS.,Acorns ripe down-pattering,3,26
W. WORDSWORTH.,Of intermingling hues;,3,22
W. WORDSWORTH.,A solitary tear:,3,16
W. WORDSWORTH.,Of noble sentiment.,3,19
W. WORDSWORTH.,"Deliberately and undeceived,",3,28
W. WORDSWORTH.,To music suddenly:,3,18
W. WORDSWORTH.,She fearfully caroused.,3,23
W. WORDSWORTH.,The horsemen-travellers ride.,3,29
P.B. SHELLEY.,Weltering through eternity;,3,27
P.B. SHELLEY.,"Amphitrite's destined halls,",3,28
P.B. SHELLEY.,"'Mid remember'd agonies,",3,24
P.B. SHELLEY.,The polluting multitude;,3,24
W. WORDSWORTH.,Sir George Beaumont.,3,20
P.B. SHELLEY.,Nurslings of immortality!,3,25
W. WORDSWORTH.,A very nightingale.,3,19
W. WORDSWORTH.,"Affectionate and true,",3,22
W. WORDSWORTH.,And Matthew seventy-two.,3,24
W. WORDSWORTH.,Land and sea,3,12
W. WORDSWORTH.,On every side,3,13
W. WORDSWORTH.,Were endless imitation.,3,23
W. WORDSWORTH.,Thy soul's immensity;,3,21
W. WORDSWORTH.,"Those shadowy recollections,",3,28
W. WORDSWORTH.,To perish never;,3,16
W. WORDSWORTH.,Is lovely yet;,3,14
T. NASH.,"Cuckoo, jug-jug, pu-we, to-witta-woo!",4,37
T. NASH.,"Cuckoo, jug-jug, pu-we, to-witta-woo!",4,37
T. NASH.,"Cuckoo, jug-jug, pu-we, to-witta-woo!",4,37
T. NASH.,"Spring, the sweet Spring!",4,25
WILLIAM DRUMMOND OF HAWTHORNDEN.,Make an eternal spring!,4,23
WILLIAM DRUMMOND OF HAWTHORNDEN.,"Which, purely white, deserves",4,29
WILLIAM DRUMMOND OF HAWTHORNDEN.,Your furious chiding stay;,4,26
WILLIAM DRUMMOND OF HAWTHORNDEN.,Let Zephyr only breathe,4,23
WILLIAM DRUMMOND OF HAWTHORNDEN.,Ensaffroning sea and air,4,24
WILLIAM DRUMMOND OF HAWTHORNDEN.,Makes vanish every star:,4,24
C. MARLOWE.,Melodious birds sing madrigals.,4,31
W. SHAKESPEARE.,Crabbed Age and Youth,4,21
W. SHAKESPEARE.,"Youth like summer morn,",4,23
W. SHAKESPEARE.,Age like winter weather;,4,24
W. SHAKESPEARE.,"Youth like summer brave,",4,24
W. SHAKESPEARE.,Age like winter bare:,4,21
W. SHAKESPEARE.,"Age's breath is short,",4,22
W. SHAKESPEARE.,Under the greenwood tree,4,24
W. SHAKESPEARE.,Here shall we see,4,17
W. SHAKESPEARE.,Who doth ambition shun,4,22
W. SHAKESPEARE.,Here shall he see,4,17
ANON.,He soon hath found,4,18
H. CONSTABLE.,"Diaphenia like the daffadowndilly,",4,34
T. LODGE.,"Heigh ho, fair Rosaline!",4,24
T. LODGE.,"That beautifies Aurora's face,",4,30
T. LODGE.,"Heigh ho, fair Rosaline!",4,24
T. LODGE.,"Heigh ho, fair Rosaline!",4,24
T. LODGE.,"Heigh ho, fair Rosaline!",4,24
T. LODGE.,"Heigh ho, fair Rosaline!",4,24
THE SHEPHERD TONIE.,Hey nonny nonny O!,4,18
THE SHEPHERD TONIE.,"And sometimes fall a-weeping,",4,29
THE SHEPHERD TONIE.,Hey nonny nonny O!,4,18
SIR T. WYAT.,Say nay! say nay!,4,17
SIR T. WYAT.,Say nay! say nay!,4,17
SIR T. WYAT.,Never for to depart,4,19
SIR T. WYAT.,Say nay! say nay!,4,17
SIR T. WYAT.,Say nay! say nay!,4,17
R. BARNEFIELD.,Save the Nightingale alone.,4,27
R. BARNEFIELD.,Careless of thy sorrowing:,4,26
W. SHAKESPEARE.,As friend remember'd not.,4,25
W. DRUMMOND.,And with lamenting cries,4,24
W. SHAKESPEARE.,"Lay me, O where",4,15
W. SHAKESPEARE.,Nor the all-dreaded thunder-stone;,4,34
W. SHAKESPEARE.,"How begot, how nourishéd?",4,25
T. HEYWOOD,"Stare, linnet, and cock-sparrow!",4,32
E. SPENSER.,And crown their paramours,4,25
E. SPENSER.,"Did never whiter show,",4,22
E. SPENSER.,Like a bride's chamber-floor.,4,29
E. SPENSER.,"Prepar'd against that day,",4,26
E. SPENSER.,Of your loves complement;,4,25
E. SPENSER.,For ever to assoil.,4,19
E. SPENSER.,Their accents did resound.,4,26
E. SPENSER.,That promiseth the same;,4,24
W. DRUMMOND.,"By sporting children's breath,",4,30
W. DRUMMOND.,Who chase it everywhere,4,23
LORD BACON,Less than a span:,4,17
LORD BACON,So to the tomb;,4,15
LORD BACON,With cares and fears.,4,21
LORD BACON,What life is best?,4,18
LORD BACON,Or pains his head:,4,18
LORD BACON,Or do things worse:,4,19
LORD BACON,Or wish them gone:,4,18
W. DRUMMOND.,"His providence extending everywhere,",4,36
J. MILTON.,While the heaven-born Child,4,27
J. MILTON.,Only with speeches fair,4,23
J. MILTON.,"Pollute with sinful blame,",4,26
J. MILTON.,The hookéd Chariot stood,4,24
J. MILTON.,Unstain'd with hostile blood;,4,29
J. MILTON.,Smoothly the waters kist,4,24
J. MILTON.,As his inferior flame,4,21
J. MILTON.,That the mighty Pan,4,19
J. MILTON.,When such music sweet,4,21
J. MILTON.,"Answering the stringéd noise,",4,29
J. MILTON.,Beneath the hollow round,4,24
J. MILTON.,Now was almost won,4,18
J. MILTON.,Before was never made,4,21
J. MILTON.,While the Creator great,4,23
J. MILTON.,Move in melodious time;,4,23
J. MILTON.,"Enwrap our fancy long,",4,22
J. MILTON.,Mercy will sit between,4,22
J. MILTON.,"Throned in celestial sheen,",4,27
J. MILTON.,Must redeem our loss;,4,21
J. MILTON.,The aged Earth agast,4,20
J. MILTON.,"Full and perfect is,",4,20
J. MILTON.,"In straiter limits bound,",4,25
J. MILTON.,The oracles are dumb;,4,21
J. MILTON.,Apollo from his shrine,4,22
J. MILTON.,"Can no more divine,",4,19
J. MILTON.,The lonely mountains o'er,4,25
J. MILTON.,And the resounding shore,4,24
J. MILTON.,Edged with poplar pale,4,22
J. MILTON.,With flower-inwoven tresses torn,4,32
J. MILTON.,"Forsake their temples dim,",4,26
J. MILTON.,"And sullen Moloch, fled,",4,24
J. MILTON.,Nor is Osiris seen,4,18
J. MILTON.,Within his sacred chest;,4,24
J. MILTON.,The dreaded infant's hand;,4,26
J. MILTON.,Curtain'd with cloudy red,4,25
J. MILTON.,The flocking shadows pale,4,25
J. MILTON.,And the yellow-skirted fays,4,27
J. DRYDEN.,This universal frame began:,4,27
J. DRYDEN.,Of jarring atoms lay,4,20
J. DRYDEN.,And Music's power obey.,4,23
J. DRYDEN.,This universal frame began:,4,27
J. DRYDEN.,From harmony to harmony,4,23
J. DRYDEN.,The trumpet's loud clangor,4,26
J. DRYDEN.,"Excites us to arms,",4,19
J. DRYDEN.,Of the thundering drum,4,22
J. DRYDEN.,The soft complaining flute,4,26
J. DRYDEN.,In dying notes discovers,4,24
J. DRYDEN.,The sacred organ's praise?,4,26
J. DRYDEN.,"Notes inspiring holy love,",4,26
J. DRYDEN.,Sequacious of the lyre:,4,23
J. DRYDEN.,Mistaking Earth for Heaven!,4,27
A. MARVELL.,Removing from the wall,4,22
A. MARVELL.,But through adventurous war,4,27
A. MARVELL.,Urgéd his active star:,4,22
A. MARVELL.,His fiery way divide:,4,21
A. MARVELL.,"The emulous, or enemy;",4,22
A. MARVELL.,To plant the bergamot),4,22
A. MARVELL.,"Nature, that hateth emptiness,",4,30
A. MARVELL.,"Allows of penetration less,",4,27
A. MARVELL.,Where greater spirits come.,4,27
A. MARVELL.,To Carisbrook's narrow case;,4,28
A. MARVELL.,"Upon that memorable scene,",4,26
A. MARVELL.,"The Capitol's first line,",4,25
A. MARVELL.,Foresaw its happy fate!,4,23
A. MARVELL.,"To Italy an Hannibal,",4,21
A. MARVELL.,"Within his parti-colour'd mind,",4,31
A. MARVELL.,Shrink underneath the plaid—,4,28
F. BEAUMONT.,"Mortality, behold and fear",4,26
J. SHIRLEY.,"As night and day,",4,17
J. SHIRLEY.,Death's servile emissaries are;,4,31
J. SHIRLEY.,He hath at will,4,15
J. SHIRLEY.,"They stoop to fate,",4,19
J. SHIRLEY.,Your heads must come,4,20
J. SHIRLEY.,To the cold tomb;,4,17
G. HERBERT.,Contract into a span.,4,21
H. VAUGHAN.,Shined in my Angel-infancy!,4,27
H. VAUGHAN.,Some shadows of eternity;,4,25
H. VAUGHAN.,Bright shoots of everlastingness.,4,33
B. JONSON.,"Hesperus entreats thy light,",4,28
B. JONSON.,Dare itself to interpose;,4,25
B. JONSON.,And thy crystal-shining quiver;,4,31
R. CRASHAW.,That not impossible She,4,23
R. CRASHAW.,Till that ripe birth,4,20
R. CRASHAW.,Idea take a shrine,4,18
R. CRASHAW.,"I wish her beauty,",4,18
R. CRASHAW.,"Taffata or tissue can,",4,22
R. CRASHAW.,A face that's best,4,18
R. CRASHAW.,A face made up,4,14
R. CRASHAW.,"Open suns, shady bowers;",4,24
R. CRASHAW.,"Days, that need borrow",4,22
R. CRASHAW.,"Days, that in spite",4,19
R. CRASHAW.,"Life, that dares send",4,21
R. CRASHAW.,I wish her store,4,16
R. CRASHAW.,"—Now, if Time knows",4,19
R. CRASHAW.,Her that dares be,4,17
R. CRASHAW.,"'Tis She, and here",4,18
R. CRASHAW.,My wishes' cloudy character.,4,28
R. CRASHAW.,"Let her full glory,",4,19
ANON.,"And over the waves,",4,19
ANON.,And under the graves;,4,21
ANON.,You may esteem him,4,18
ANON.,By having him confined;,4,23
ANON.,Or you may inveigle,4,19
SIR C. SEDLEY.,As unconcern'd as when,4,22
SIR C. SEDLEY.,No happiness or pain!,4,21
SIR C. SEDLEY.,"To their perfection prest,",4,26
R. HERRICK.,To-morrow will be dying.,4,24
R. HERRICK.,The higher he's a-getting,4,25
COLONEL LOVELACE.,That from the nunnery,4,21
SIR H. WOTTON.,Thinking your passions understood,4,33
ANON.,"Coral beneath the ocean-stream,",4,31
ANON.,Like the care-burthen'd honey-fly,4,33
ANON.,So indefeasible might be,4,24
E. WALLER.,"That now she knows,",4,19
E. WALLER.,"Tell her that's young,",4,22
E. WALLER.,That hadst thou sprung,4,22
E. WALLER.,Small is the worth,4,18
E. WALLER.,"Bid her come forth,",4,19
E. WALLER.,Then die! that she,4,18
E. WALLER.,May read in thee:,4,17
R. HERRICK.,"Into a fine distractión,—",4,25
R. HERRICK.,"Enthrals the crimson stomacher,—",4,32
R. HERRICK.,"Ribbands to flow confusedly,—",4,29
R. HERRICK.,"In the tempestuous petticoat,—",4,30
R. HERRICK.,Thy Protestant to be;,4,21
R. HERRICK.,To honour thy decree:,4,21
R. HERRICK.,Under that cypress tree:,4,24
COLONEL LOVELACE.,"Hovers within my gates,",4,23
COLONEL LOVELACE.,Know no such liberty.,4,21
COLONEL LOVELACE.,"With no allaying Thames,",4,24
COLONEL LOVELACE.,Know no such liberty.,4,21
COLONEL LOVELACE.,"When, linnet-like confinéd, I",4,29
COLONEL LOVELACE.,"The sweetness, mercy, majesty,",4,30
COLONEL LOVELACE.,Know no such liberty.,4,21
COLONEL LOVELACE.,That for an hermitage:,4,22
COLONEL LOVELACE.,"Our faith and troth,",4,20
SIR J. SUCKLING.,"Prythee, why so pale?",4,21
SIR J. SUCKLING.,"Prythee, why so pale?",4,21
SIR J. SUCKLING.,"Prythee, why so mute?",4,21
SIR J. SUCKLING.,"Prythee, why so mute?",4,21
SIR J. SUCKLING.,This cannot take her;,4,21
SIR J. SUCKLING.,Nothing can make her:,4,21
SIR J. SUCKLING.,The D——l take her!,4,18
A. COWLEY.,"Awake, awake, my Lyre!",4,22
A. COWLEY.,Though so exalted she,4,21
A. COWLEY.,Themselves with awful fear,4,26
A. COWLEY.,My passion to remove;,4,21
G. WITHER.,'Cause another's rosy are?,4,26
